,stop_id,stop_name,geometry,relative_position
0,80301,Redondo Beach Station,POINT (-118.369196 33.89464),0.002866096823410829
1,80302,Douglas Station,POINT (-118.383113 33.905299),0.05500489664941875
2,80303,El Segundo Station,POINT (-118.386539 33.916063),0.091083065157067
3,80304,Mariposa Station,POINT (-118.387572 33.9232),0.11341650581029669
4,80305,Aviation / LAX Station,POINT (-118.377134 33.929621),0.15786942274979582
5,80306,Hawthorne / Lennox Station,POINT (-118.351602 33.933408),0.23539161043424595
6,80307,Crenshaw Station,POINT (-118.32655 33.925201),0.31649393746531096
7,80308,Vermont / Athens Station,POINT (-118.291733 33.928683),0.42098284333161906
8,80309,Harbor Freeway Station,POINT (-118.2811 33.928714),0.4526033946149407
9,80310,Avalon Station,POINT (-118.265217 33.92746500000001),0.5001332559467047
10,80311,Willowbrook - Rosa Parks Station - Metro Green Line,POINT (-118.238052 33.928258),0.5811743311001728
11,80312,Long Beach Blvd Station,POINT (-118.209945 33.92488),0.6680095775980134
12,80313,Lakewood Blvd Station,POINT (-118.1406 33.91307),0.8822319641748779
13,80314,Norwalk Station,POINT (-118.104717 33.914033),0.9890352454013158
